他感冒了。|He caught a cold.|tā gǎn mào le。
我们必须提高生产水平。|We must increase production levels.|wǒ men bì xū tí gāo shēng chǎn shuǐ píng。
他坐在风口上，着凉了。|He sat in a draught and catch a cold.|tā zuò zài fēng kǒu shàng， zháo liáng le。
晚课后，男孩子们去睡了。|The boys went to sleep after vespers.|wǎn kè hòu， nán hái zǐ men qù shuì le。
每个学生发了一本课本。|Each student was issued with a textbook.|měi gè xué sheng fà le yī běn kè běn。
要是我再有一次机会就好了。|If only I had another chance.|yào shì wǒ zài yǒu yī cì jī huì jiù hào le。
这种菜好吃不好做.|This dish is delicious but rather a trouble to prepare.|zhè zhǒng cài hǎo chī bù hǎo zuò.
他洗澡时想出了这个主意。|The idea came to him in his bath.|tā xǐ zǎo shí xiǎng chū le zhè gè zhǔ yi。
他们之间的交易告吹了。|The transaction between them was dismissed.|tā men zhī jiān de jiāo yì gào chuī le。
他用一把刀子将苹果切开。|He cleaved an apple with a knife.|tā yòng yī bǎ dāo zi jiàng píng guǒ qiè kāi。
我没有注意到他已经走了。|I failed to note that he had left.|wǒ méi yǒu zhù yì dào tā yǐ jīng zǒu le。
孩子们假装开商店玩儿.|The children were playing at keeping shop.|hái zi men jiǎ zhuāng kāi shāng diàn wánr.
我们在旁边的地里放羊。|We are grazing the sheep in the next field.|wǒ men zài páng biān de de lǐ fàng yáng。
那些男孩子们渴望下课。|The boys were itching for the lesson to end.|nà xiē nán hái zǐ men kě wàng xià kè。
夏天他总是高高兴兴的。|He's always full of cheer in summer.|xià tiān tā zǒng shì gāo gāo xìng xìng de。
我们一星期三节化学课。|We have three periods of chemistry a week.|wǒ men yī xīng qī sān jié huà xué kè。
你不是支持我就是反对我。|You are either with me or against me.|nǐ bú shì zhī chí wǒ jiù shì fǎn duì wǒ。
他想当医生或者经商.|He wants to be a doctor or go into business.|tā xiǎng dàng yī shēng huò zhě jīng shāng.
门口有个男人要求见你。|Some man at the door is asking to see you.|mén kǒu yǒu gè nán rén yāo qiú xiàn nǐ。
他觉得他们和他地位相等。|He feels that they are his equals.|tā jué de tā men huò tā dì wèi xiāng děng。
今年的开始将会更好。|The commencement of this year will be better.|jīn nián de kāi shǐ jiāng huì gèng hǎo。
他们决定开办一家合作社。|They decided to set up a cooperative.|tā men jué dìng kāi bàn yī jiā hé zuò shè。
你现在需要的就是放假。|A holiday will be just the thing for you.|nǐ xiàn zài xū yào de jiù shì fàng jià。
她上大学时经常练跑步.|She used to run when she was at college.|tā shàng dà xué shí jīng cháng liàn pǎo bù.
他是一位非常重要的人物。|He is a man of great importance.|tā shì yī wèi fēi cháng zhòng yào de rén wù。
别以为我能相信那件事.|You can scarcely expect me to believe that.|biè yǐ wéi wǒ néng xiāng xìn nà jiàn shì.
他将他的名字写在清单上。|He wrote down his name on the list.|tā jiàng tā de míng zi xiě zài qīng dān shàng。
这里有很大的活动空间。|There is plenty of space here to move about.|zhè lǐ yǒu hěn dà de huó dòng kōng jiān。
她和我在学院里是同学。|She and I were contemporaries at college.|tā huò wǒ zài xué yuàn lǐ shì tóng xué。
她在电话中说话不太客气.|She sounded rather off on the phone.|tā zài diàn huà zhòng shuō huà bù tài kè qì.
我们在下午四点钟喝茶。|We have tea at four o'clock in the afternoon.|wǒ men zài xià wǔ sì diǎn zhōng hè chá。
我在写现代英语的语法书.|I'm writing a grammar of modern English.|wǒ zài xiě xiàn dài Yīng yǔ de yǔ fǎ shū.
我想我们能从中学到许多。|I think we may learn much from it.|wǒ xiǎng wǒ men néng cóng zhōng xué dào xǔ duō。
他已经习惯在外面吃饭了。|He is used to eating out all the time.|tā yǐ jīng xí guàn zài wài miàn chī fàn le。
我们都支持他的科学研究。|We all support his scientific research.|wǒ men dōu zhī chí tā de kē xué yán jiū。
请给我找一个放糖的容器。|Please find me a receptacle for sugar.|qǐng jǐ wǒ zhǎo yī gè fàng táng de róng qì。
我从不错过踢足球的机会。|I never miss a chance of playing football.|wǒ cóng bù cuò guò tī zú qiú de jī huì。
父亲下午总要睡个午觉。|Father always takes a nap in the afternoon.|fù qīn xià wǔ zǒng yào shuì gè wǔ jiào。
住寄宿舍比住旅馆便宜.|It's cheaper to live in lodgings than in a hotel.|zhù jì sù shè bì zhù lu:3 guǎn pián yi.
我不喜欢读他的文学批评。|I don't like to read his literary criticism.|wǒ bù xǐ huan dú tā de wén xué pī píng。
别把刚才跟你说的事忘了。|Don't forget what I told you just now.|biè bǎ gāng cái gēn nǐ shuō de shì wàng le。
好像她已出去好几天了。|It looks as if she's gone away for a few days.|hǎo xiàng tā yǐ chū qù hǎo jǐ tiān le。
我从报纸上得知这个消息。|I learned this news from the newspaper.|wǒ zòng bào zhǐ shàng dé zhī zhè gè xiāo xi。
排球是我很喜欢的运动。|Volleyball is a sport of which I am very fond.|pái qiú shì wǒ hěn xǐ huan de yùn dòng。
他昨天参加了我们的讨论。|He joined us in the discussion yesterday.|tā zuó tiān cān jiā le wǒ men de tǎo lùn。
除我之外，他们都去睡觉了。|They all went to sleep except me.|chú wǒ zhī wài， tā men dōu qù shuì jiào le。
今天食堂比往常忙得多.|The canteen is more than usually busy today.|jīn tiān shí táng bì wǎng cháng máng de duō.
整个工作只需要半个小时。|The whole job only takes half an hour.|zhěng gè gōng zuò zhǐ xū yào bàn gè xiǎo shí。
我找不到你寄给我的那封信。|I can't trace that letter you sent me.|wǒ zhǎo bù dào nǐ jì jǐ wǒ de nà fēng xìn。
我想我们能从中学到许多。|I think we may learn much from it.|wǒ xiǎng wǒ men néng cóng zhōng xué dào xǔ duō。
我们每个星期四下午开会。|We have meetings every Thursday afternoon.|wǒ men měi gè xīng qī sì xià wǔ kāi huì。
我不喜欢读他的文学批评。|I don't like to read his literary criticism.|wǒ bù xǐ huan dú tā de wén xué pī píng。
早饭后，他读了各种报纸。|After breakfast he perused the newspapers.|zǎo fàn hòu， tā dú le gè zhǒng bào zhǐ。
这条街道比那条短四倍。|This street is four times shorter than that one.|zhè tiáo jiē dào bì nà tiáo duǎn sì bèi。
她长成了一位漂亮的女人。|She developed into a beautiful woman.|tā zhǎng chéng le yī wèi piào liang de nu:3 rén。
我百分之百同意你的看法。|I am a hundred percent in agreement with you.|wǒ bǎi fēn zhī bǎi tóng yì nǐ de kàn fǎ。
这样的天才现在很少见。|It is rare to find such a genius nowadays.|zhè yàng de tiān cái xiàn zài hěn shǎo xiàn。
你只要问他，他就会告诉你。|You have only to ask and he'll tell you.|nǐ zhǐ yào wèn tā， tā jiù kuài gào su nǐ。
我是最近才开始学法语的。|I've only recently started learning French.|wǒ shì zuì jìn cái kāi shǐ xué fǎ yǔ de。
这是一个极为重要的问题。|This is an issue of the utmost importance.|zhè shì yī gè jí wéi zhòng yào de wèn tí。
他没穿鞋，看上去矮多了。|He seems much shorter without his shoes on.|tā mò chuān xié， kàn shàng qù ǎi duō le。
刚才你男朋友给你打电话了。|Your boyfriend called you just now.|gāng cái nǐ nán péng you jǐ nǐ dǎ diàn huà le。
天花板很低, 留神别碰头.|Mind you don't bump your head on the low ceiling.|tiān huā bǎn hěn dī,  liú shén biè pèng tou.
大米是我们生活的基本食物。|Rice is our essential foodstuff in life.|dà mǐ shì wǒ men shēng huó de jī běn shí wù。
我家附近新建了一家工厂。|A new factory was established near my home.|wǒ jiā fù jìn Xīn jiàn le yī jiā gōng chǎng。
你把这个句子中的动词丢了。|You have omitted the verb in the sentence.|nǐ bǎ zhè gè jù zi zhòng dì dòng cí diū le。
老师给全班同学作了听写。|The teacher dictated to the whole class.|lǎo shī jǐ quán bān tóng xué zuò le tīng xiě。
你不请大夫来, 他就得死了.|He will certainly die if you don't call a doctor.|nǐ bù qǐng dài fu lái,  tā jiù de sǐ le.
他喜欢拿他的同学开玩笑。|He likes playing jokes on his classmates.|tā xǐ huan ná tā de tóng xué kāi wán xiào。
他们要去动物园或打排球。|They will go to the zoo or play volleyball.|tā men yào qù dòng wù yuán huò dǎ pái qiú。
爸爸每天早上走路去上班。|Father walks to his office every morning.|bà ba měi tiān zǎo shang zǒu lù qù shàng bān。
我们决定立刻去火车站。|We determined to go to the railway station at once.|wǒ men jué dìng lì kè qù huǒ chē zhàn。
这个小男孩能够数到一千。|The little boy can count up to a thousand.|zhè gè xiǎo nán hái néng gòu shuò dào yī qiān。
有的人爱先做难做的工作。|Some people tackle the difficult jobs first.|yǒu de rén ài xiān zuò nàn zuò de gōng zuò。
这个小男孩跑去找他的哥哥。|The little boy ran off to get his brother.|zhè gè xiǎo nán hái pǎo qù zhǎo tā de gē ge。
这座公路桥现在开放通行。|The road bridge is now open to traffic.|zhè zuò gōng lù qiáo xiàn zài kāi fàng tōng xíng。
把这些信送到对面邮局去。|Take these letters over to the post office.|bǎ zhè xie xìn sòng dào duì miàn yóu jú qù。
那男子一举一动像个大男孩。|That man behaves like an overgrown child.|nà nán zǐ yī jǔ yī dòng xiàng gè dà nán hái。
这家医院有二百个床位。|This hospital has accommodation for 200 patients.|zhè jiā yī yuàn yǒu èr bǎi gè chuáng wèi。
可能的话，她想跟我们一起去。|If possible, She wants to go with us.|kě néng de huà， tā xiǎng gēn wǒ men yī qǐ qù。
可能的话，她想跟我们一起去。|If possible, She wants to go with us.|kě néng de huà， tā xiǎng gēn wǒ men yī qǐ qù。
这不是一个很重要的问题。|This is not an issue of the utmost importance.|zhè bú shì yī gè hěn zhòng yào de wèn tí。
你把这个句子中的动词丢了。|You have omitted the verb in the sentence.|nǐ bǎ zhè gè jù zi zhòng dì dòng cí diū le。
不论你在哪里，我都会想念你。|Wherever you are, I will miss you.|bù lùn nǐ zài nǎ li， wǒ dū huì xiǎng niàn nǐ。
她认为自己懂得什么是生活。|She esteemed that she knew what life was.|tā rèn wéi zì jǐ dǒng de shén me shì shēng huó。
别哭，你现在已经是大男孩了。|Don't cry, you are a big boy now.|biè kū， nǐ xiàn zài yǐ jīng shì dà nán hái le。
别都挤在一块儿, 分开坐吧.|Don't all sit together, spread yourselves out.|biè dōu jǐ zài yī kuài er,  fēn kāi zuò ba.
这个小男孩跑去找他的哥哥。|The little boy ran off to get his brother.|zhè gè xiǎo nán hái pǎo qù zhǎo tā de gē ge。
听到脚步声，就知道他回来了。|Footsteps announced his return.|tīng dào jiǎo bù shēng， jiù zhī dào tā huí lai le。
他为我切了几块很好的鸡肉。|He carved me some very nice pieces of chicken.|tā wèi wǒ qiè le jǐ kuài hěn hǎo de jī ròu。
这些电影只适宜成人观看。|These films are suitable for adults only.|zhè xie diàn yǐng zhǐ shì yí chéng rén guān kàn。
这封信只用一张纸写成。|The letter was written on a single sheet of paper.|zhè fēng xìn zhǐ yòng yī zhāng zhǐ xiě chéng。
我要去图书馆还这些书。|I'm just going to check in these books at the library.|wǒ yào qù tú shū guǎn huán zhè xie shū。
他为我切了几块很好的鸡肉。|He carved me some very nice pieces of chicken.|tā wèi wǒ qiè le jǐ kuài hěn hǎo de jī ròu。
下点雨会使我们感到凉快一些。|Some rain would cool us down.|xià diǎn yǔ kuài shǐ wǒ men gǎn dào liáng kuai yī xiē。
小女孩立志要做一名科学家。|The young girl aspired to be a scientist.|xiǎo nu:3 hái lì zhì yào zuò yī míng kē xué jiā。
我希望演说者不要离题。|I wish the speaker would confine himself to the subject.|wǒ xī wàng yǎn shuō zhě bù yào lí tí。
我正在做晚饭时停电了。|While I was cooking supper the electricity went off.|wǒ zhèng zài zuò wǎn fàn shí tíng diàn le。
青少年是身体成熟期。|Teenage is the period at which the body reaches maturity.|qīng shào nián shì shēn tǐ chéng shú qī。
那就说明了她不在这里的原因。|That explains why she is not here.|nà jiù shuō míng le tā bù zài zhè lǐ de yuán yīn。
有许多来自那个国家的难民。|There are many refugees from that country.|yǒu xǔ duō lái zì nèi gè guó jiā de nàn mín。
妈妈准备了好吃的东西给我。|Mother has something delicious in store for me.|mā ma zhǔn bèi le hǎo chī de dōng xi jǐ wǒ。
使学生学习是教师的责任。|It's a teacher's business to make student learn.|shǐ xué sheng xué xí shì jiào shī de zé rèn。
我不喝酒, 给我来杯汽水吧.|I won't have any wine; I'll just have (a) soda water.|wǒ bù hē jiǔ,  jǐ wǒ lái bēi qì shuǐ ba.
她很快成为大家注意的人物。|She soon becomes the centre of attention.|tā hěn kuài chéng wéi dà jiā zhù yì de rén wù。
我认为我已找到理想的爱人了。|I think I've met the love of my life.|wǒ rèn wéi wǒ yǐ zhǎo dào lǐ xiǎng de ài ren le。
我为准备英语考试的人做辅导。|I coach people for English exams.|wǒ wèi zhǔn bèi Yīng yǔ kǎo shì de rén zuò fǔ dǎo。
我们应该对下一代负责。|We should be responsible for the generation as yet unborn.|wǒ men yīng gāi duì xià yī dài fù zé。
我为准备英语考试的人做辅导。|I coach people for English exams.|wǒ wèi zhǔn bèi Yīng yǔ kǎo shì de rén zuò fǔ dǎo。
